cpu+barnesHut (theta=1),500,259.978,384.648
cpu+barnesHut (theta=1),1000,649.538,153.956
cpu+barnesHut (theta=1),2000,1504.17,66.4818
cpu+barnesHut (theta=1),3000,2636.44,37.93
cpu+barnesHut (theta=1),4000,3964.91,25.2213
cpu+barnesHut (theta=1),5000,5359.47,18.6586

