optim,nbodies,ms,fps
cpu+optim,30000,117743.0,0.0849308
cpu+omp,30000,56498.1,0.176997
cpu+barnesHut,30000,78875.4,0.126782
cpu+barnesHut+omp,30000,16674.8,0.599708
cpu+simd,30000,23061.6,0.433622
cpu+simd+omp,30000,8324.9,1.20122
cpu+simd+pthread,30000,6617.44,1.51116
gpu,30000,1065.13,9.38851
